Designator,Mid X,Mid Y,Rotation,Layer
BT1,120.3375,-69.375,180.0,top
S1,9.25,-18.5,0.0,top
S10,64.75,-27.75,0.0,top
S11,83.25,-32.375,0.0,top
S12,101.75,-37.0,0.0,top
S13,9.25,-55.5,0.0,top
S14,27.75,-55.5,0.0,top
S15,46.25,-50.875,0.0,top
S16,64.75,-46.25,0.0,top
S17,83.25,-50.875,0.0,top
S18,101.75,-55.5,0.0,top
S19,120.25,-78.625,0.0,top
S2,27.75,-18.5,0.0,top
S20,101.75,-74.0,0.0,top
S21,83.25,-69.375,0.0,top
S3,46.25,-13.875,0.0,top
S4,64.75,-9.25,0.0,top
S5,83.25,-13.875,0.0,top
S6,101.75,-18.5,0.0,top
S7,9.25,-37.0,0.0,top
S8,27.75,-37.0,0.0,top
S9,46.25,-32.375,0.0,top
SW1,127.108,-53.33,90.0,top
U1,120.25,-26.36625,0.0,top
