Designator,Mid X,Mid Y,Rotation,Layer
BT1,194.25,-57.395,180.0,top
S1,83.25,-60.125,0.0,top
S10,138.75,-69.375,0.0,top
S11,157.25,-74.0,0.0,top
S12,175.75,-78.625,0.0,top
S13,83.25,-97.125,0.0,top
S14,101.75,-97.125,0.0,top
S15,120.25,-92.5,0.0,top
S16,138.75,-87.875,0.0,top
S17,157.25,-92.5,0.0,top
S18,175.75,-97.125,0.0,top
S19,194.25,-120.25,0.0,top
S2,101.75,-60.125,0.0,top
S20,175.75,-115.625,0.0,top
S21,157.25,-111.0,0.0,top
S3,120.25,-55.5,0.0,top
S4,138.75,-50.875,0.0,top
S5,157.25,-55.5,0.0,top
S6,175.75,-60.125,0.0,top
S7,83.25,-78.625,0.0,top
S8,101.75,-78.625,0.0,top
S9,120.25,-74.0,0.0,top
SW1,201.6,-100.5825,90.0,top
U1,194.25,-72.635,0.0,top
