Designator,Mid X,Mid Y,Rotation,Layer
S1,65.90625,-50.875,0.0,top
S10,121.40625,-60.125,0.0,top
S11,139.90625,-64.75,0.0,top
S12,158.40625,-69.375,0.0,top
S13,65.90625,-87.875,0.0,top
S14,84.40625,-87.875,0.0,top
S15,102.90625,-83.25,0.0,top
S16,121.40625,-78.625,0.0,top
S17,139.90625,-83.25,0.0,top
S18,158.40625,-87.875,0.0,top
S19,176.90625,-111.0,0.0,top
S2,84.40625,-50.875,0.0,top
S20,158.40625,-106.375,0.0,top
S21,139.90625,-101.75,0.0,top
S3,102.90625,-46.25,0.0,top
S4,121.40625,-41.625,0.0,top
S5,139.90625,-46.25,0.0,top
S6,158.40625,-50.875,0.0,top
S7,65.90625,-69.375,0.0,top
S8,84.40625,-69.375,0.0,top
S9,102.90625,-64.75,0.0,top
